gene,cosine_similarity
X2900097C17Rik,0.96317106
Sparcl1,0.9630473
Glul,0.95966387
Cpe,0.95837414
Gpm6b,0.95742345
Mdh1,0.9572715
Ckb,0.956247
Slc25a4,0.9545056
Olfm1,0.95449436
Qk,0.95426637
Tspan3,0.95417285
Tspan7,0.9532736
Apoe,0.9528901
Actb,0.9523219
Purb,0.9519968
Tmsb4x,0.9514611
X6330403K07Rik,0.9512729
Atp5a1,0.9512663
Ywhag,0.951178
Nap1l5,0.9510077
Rplp1,0.950972
Gria1,0.9509462
Tuba1a,0.9509252
Cst3,0.95086175
Fth1,0.9508204
Eef1a1,0.95056033
Msi2,0.95055056
Mt1,0.95054966
Prkar1a,0.9504609
Ndrg4,0.95010006
Slc1a2,0.95007694
Ldhb,0.94993186
Eif4g2,0.9498178
Calm1,0.94979185
Slc1a3,0.94942254
Cltc,0.94934267
Gnas,0.94931924
Atp5b,0.9492146
Rtn4,0.9489694
Eef2,0.9486325
Sepp1,0.94850993
Aldoc,0.9483784
Ddx5,0.9482137
Slc6a1,0.94797444
Map1b,0.9477333
Cfl1,0.9470758
Canx,0.9470672
Meg3,0.9470364
Hnrnpa2b1,0.9468241
Calm3,0.94657195
Cox4i1,0.94656605
Ubb,0.9463582
H3f3b,0.9459331
Rpl13,0.945889
Snap25,0.94580114
Ywhae,0.9457883
Itm2b,0.9457601
Rpl4,0.9456055
Gm1821,0.9455703
Tcf4,0.9454975
Scd2,0.94487613
Ctnnb1,0.9448358
Syt1,0.94480765
Slc25a3,0.9444733
Atp6v1a,0.9442498
Atp5j,0.9440888
Hsp90aa1,0.94406164
Sptbn1,0.9440058
Hsp90ab1,0.9436224
Hspa8,0.9435538
Gpm6a,0.94352514
Abat,0.94334936
Serpine2,0.942854
Rtn3,0.9426503
Map2,0.942182
Pea15a,0.94203365
Ywhab,0.9418966
Serinc1,0.9418196
Rtn1,0.9417595
Atp1b1,0.94155985
Ghitm,0.9415425
Ptma,0.9414321
Slc6a11,0.9413952
Celf4,0.9411836
Dlgap1,0.9411662
Cox6c,0.9407495
Ctsb,0.9407149
Aldoa,0.94058615
Atp1b2,0.94057727
Map4,0.9404298
Cox7b,0.9404167
Cox6a1,0.94022214
Calm2,0.9400728
Glud1,0.939986
Celf2,0.9399761
Atp5g3,0.93978417
Cplx1,0.9392192
Calb2,0.9391145
Pcsk1n,0.93893147
Cd81,0.9388483
Ttc3,0.938411
Actg1,0.93828875
Matr3,0.9382274
Tpt1,0.93801075
Ptgds,0.9380088
Ubc,0.93793327
Vamp2,0.93741834
Marcks,0.9374128
Ntrk2,0.9373375
Lamp1,0.936987
Atp5d,0.9369033
H3f3a,0.93663514
Rpl41,0.93654364
Psap,0.9363908
Ndrg2,0.9363587
Slc4a4,0.9361924
Dclk1,0.9359175
Gnb1,0.9356756
Rcn2,0.9356397
Kcnj10,0.9352696
Klc1,0.93525016
Chchd2,0.935107
Gm10012,0.9350767
Scg2,0.93479097
Prnp,0.9347875
Cox8a,0.93463427
Cdc42,0.9346032
Sncb,0.93456715
Myo5a,0.93429315
Rps9,0.9342633
Syt11,0.9341135
Oxct1,0.9340363
Gad1,0.93400496
Pafah1b1,0.9339712
Stmn3,0.93359935
Ccni,0.93359053
Adarb1,0.93351394
Skp1a,0.93338305
Eif4a2,0.93335617
Gdi1,0.933174
Cox7a2,0.9331598
Nrxn1,0.9328889
Lrrc58,0.9328787
Rac1,0.9327471
Dpysl2,0.9327198
Mrfap1,0.93271285
Pfn2,0.9326495
Synpr,0.9325659
Aplp2,0.93237287
Rps8,0.9322746
Gnao1,0.9319827
Ahcyl1,0.9318875
Rab6b,0.93181425
Pink1,0.93165916
Itm2c,0.93150085
Dbi,0.9313797
Taok1,0.9309172
X6430548M08Rik,0.930861
Atp2b1,0.9307314
Ttyh1,0.9306613
Pgam1,0.9306397
Chd3,0.9305783
Eif1,0.93051773
Gm5148,0.93013775
Fabp7,0.9299193
Ppia,0.9297867
Dynll2,0.92969257
Arhgef12,0.92957693
Dner,0.92937803
Ndufa4,0.9290858
Uba52,0.9288233
Tuba1b,0.92873347
Dennd5a,0.9287124
Tubb2a,0.9286251
Calr,0.9286221
Rps20,0.9279322
Cox6b1,0.92793053
App,0.9277904
Slc25a5,0.9275034
Ppp2ca,0.92741174
Arf3,0.9267907
Pebp1,0.92676353
Mir703,0.92649555
Gria2,0.92636794
Hnrnpa0,0.92633307
Atrx,0.92628074
Mt2,0.9253951
Rab3a,0.9253138
Csde1,0.9252621
Mir684.1,0.92518765
Arf1,0.9247505
Dnaja1,0.9245378
Aes,0.924368
Nedd4,0.9242742
Tpi1,0.9242194
Rpl13a,0.9240071
Zeb2,0.9236882
Meis2,0.92349315
Pkm,0.9231868
Hnrnpu,0.92317295
Gabarapl1,0.9231637
Tmbim6,0.9231563
Rab14,0.9222114
Sptan1,0.92205465
Gad2,0.9220444
Ywhah,0.92197907
Tmod2,0.9219781
Doc2g,0.92187274
Aqp4,0.921831
Macf1,0.9217367
Rpl8,0.9217182
Ybx1,0.9216561
Cntn1,0.92157507
Cox7c,0.9215149
Sod1,0.9214325
Gsk3b,0.92118955
Mdh2,0.9211538
X2010107E04Rik,0.92103994
