celltype,marker,gene,js_divergence,p_value,fdr
EPL-IN,Map1b,Sncb,0.01622512884082457,0.000999000999000999,0.0011655011655011655
EPL-IN,Map1b,Cplx1,0.016939598511760124,0.000999000999000999,0.0011655011655011655
EPL-IN,Map1b,Stmn3,0.019523717567084205,0.000999000999000999,0.0011655011655011655
EPL-IN,Map1b,Chgb,0.02468423704760449,0.000999000999000999,0.0011655011655011655
EPL-IN,Map1b,Unc80,0.02531697998131367,0.000999000999000999,0.0011655011655011655
EPL-IN,Map1b,Doc2g,0.02581873037645458,0.000999000999000999,0.0011655011655011655
EPL-IN,Map1b,Kif1b,0.038292670575614994,0.000999000999000999,0.0011655011655011655
EPL-IN,Map1b,Nsf,0.03970452411448944,0.000999000999000999,0.0011655011655011655
EPL-IN,Map1b,Gabra1,0.04014688302417215,0.000999000999000999,0.0011655011655011655
EPL-IN,Map1b,Syt7,0.04041389530931586,0.000999000999000999,0.0011655011655011655
EPL-IN,Map1b,Cdhr1,0.04222015899699001,0.000999000999000999,0.0011655011655011655
EPL-IN,Map1b,Gabrb2,0.05259610395091434,0.000999000999000999,0.0011655011655011655
EPL-IN,Map1b,Uchl1,0.053604280088649585,0.000999000999000999,0.0011655011655011655
EPL-IN,Map1b,Pclo,0.05923551655656143,0.000999000999000999,0.0011655011655011655
EPL-IN,Map1b,Selm,0.06007845967058231,0.000999000999000999,0.0011655011655011655
EPL-IN,Map1b,Prune2,0.061933803844689286,0.000999000999000999,0.0011655011655011655
EPL-IN,Map1b,Ptprd,0.06424378136524812,0.000999000999000999,0.0011655011655011655
EPL-IN,Map1b,Cacnb4,0.06624909629216769,0.000999000999000999,0.0011655011655011655
EPL-IN,Map1b,Slc17a7,0.06950997829352236,0.000999000999000999,0.0011655011655011655
EPL-IN,Map1b,Thy1,0.07282203310793005,0.000999000999000999,0.0011655011655011655
EPL-IN,Map1b,Plcxd2,0.08248196930362627,0.000999000999000999,0.0011655011655011655
EPL-IN,Map1b,Rab3b,0.08377811387758737,0.000999000999000999,0.0011655011655011655
EPL-IN,Map1b,Reln,0.09545952170903678,0.000999000999000999,0.0011655011655011655
EPL-IN,Map1b,Kcnc1,0.10382015962015657,0.000999000999000999,0.0011655011655011655
EPL-IN,Map1b,Stmn2,0.10568767739408051,0.000999000999000999,0.0011655011655011655
EPL-IN,Map1b,Shisa3,0.17346179426683267,0.000999000999000999,0.0011655011655011655
EPL-IN,Map1b,Atrnl1,0.19360136829131658,0.000999000999000999,0.0011655011655011655
EPL-IN,Map1b,Thsd7a,0.19720450576507806,0.000999000999000999,0.0011655011655011655
EPL-IN,Map1b,Ralyl,0.20373117952876843,0.000999000999000999,0.0011655011655011655
EPL-IN,Map1b,Ms4a15,0.21726277733358962,0.000999000999000999,0.0011655011655011655
EPL-IN,Map1b,Ntng1,0.2203143142831354,0.000999000999000999,0.0011655011655011655
EPL-IN,Map1b,Lhfpl3,0.2395915866843016,0.000999000999000999,0.0011655011655011655
EPL-IN,Map1b,Sv2b,0.24152867826926833,0.000999000999000999,0.0011655011655011655
EPL-IN,Map1b,Nefm,0.2571131651331114,0.000999000999000999,0.0011655011655011655
EPL-IN,Map1b,Lrrc55,0.27048314239251453,0.000999000999000999,0.0011655011655011655
EPL-IN,Map1b,Elavl2,0.2942423038538835,0.000999000999000999,0.0011655011655011655
EPL-IN,Map1b,Nrn1,0.29493013599492374,0.000999000999000999,0.0011655011655011655
EPL-IN,Map1b,Cbln1,0.2976268507139529,0.000999000999000999,0.0011655011655011655
EPL-IN,Map1b,Nefl,0.3173652608838563,0.000999000999000999,0.0011655011655011655
EPL-IN,Map1b,Elavl4,0.33337417479258785,0.000999000999000999,0.0011655011655011655
EPL-IN,Map1b,Lynx1,0.3569184704019785,0.000999000999000999,0.0011655011655011655
EPL-IN,Map1b,Arhgdig,0.3869172970779813,0.000999000999000999,0.0011655011655011655
EPL-IN,Map1b,Spp1,0.3164974320352128,0.002997002997002997,0.003337571519389701
EPL-IN,Map1b,Spock1,0.3491923468302597,0.002997002997002997,0.003337571519389701
EPL-IN,Map1b,Rab26,0.46838760337414254,0.003996003996003996,0.004351204351204351
EPL-IN,Map1b,Tnfaip8,0.4691153335325443,0.005994005994005994,0.006384919428397689
EPL-IN,Map1b,A230065H16Rik,0.42127568461004594,0.01898101898101898,0.01978872191638149
EPL-IN,Map1b,Npr1,0.5389494363703518,0.10589410589410589,0.1081002331002331
EPL-IN,Map1b,Plch2,0.33127526200753,0.15084915084915085,0.15084915084915085
