celltype,marker,gene,js_divergence,p_value,fdr
GC,Calm2,Mbp,0.005635944994827284,0.000999000999000999,0.0010641532380662815
GC,Calm2,Camk2n1,0.006622000277325029,0.000999000999000999,0.0010641532380662815
GC,Calm2,Mapk1,0.008735356986920458,0.000999000999000999,0.0010641532380662815
GC,Calm2,Pcp4l1,0.010411335467990352,0.000999000999000999,0.0010641532380662815
GC,Calm2,Pcp4,0.01054170133246672,0.000999000999000999,0.0010641532380662815
GC,Calm2,Arf3,0.011072604289779742,0.000999000999000999,0.0010641532380662815
GC,Calm2,Meis2,0.0127917603092131,0.000999000999000999,0.0010641532380662815
GC,Calm2,Nsg2,0.01551921277611625,0.000999000999000999,0.0010641532380662815
GC,Calm2,Ppm1e,0.015677674318447948,0.000999000999000999,0.0010641532380662815
GC,Calm2,Map2k1,0.023498548699429026,0.000999000999000999,0.0010641532380662815
GC,Calm2,Fkbp1a,0.025264030532396627,0.000999000999000999,0.0010641532380662815
GC,Calm2,Agap2,0.025712490766889758,0.000999000999000999,0.0010641532380662815
GC,Calm2,Camk2b,0.02965767985159156,0.000999000999000999,0.0010641532380662815
GC,Calm2,Tshz1,0.032647516403112614,0.000999000999000999,0.0010641532380662815
GC,Calm2,Rbfox1,0.0396978552082272,0.000999000999000999,0.0010641532380662815
GC,Calm2,Cpne4,0.04057494444790658,0.000999000999000999,0.0010641532380662815
GC,Calm2,Atp1a1,0.049943419003333565,0.000999000999000999,0.0010641532380662815
GC,Calm2,Ube2ql1,0.055194307453075034,0.000999000999000999,0.0010641532380662815
GC,Calm2,Ppp3ca,0.05553737395677984,0.000999000999000999,0.0010641532380662815
GC,Calm2,Prkcb,0.05664430037109969,0.000999000999000999,0.0010641532380662815
GC,Calm2,Egr1,0.05678794152439858,0.000999000999000999,0.0010641532380662815
GC,Calm2,Rragd,0.056805886297555674,0.000999000999000999,0.0010641532380662815
GC,Calm2,Prkca,0.05881040152458637,0.000999000999000999,0.0010641532380662815
GC,Calm2,Fscn1,0.05949248487688171,0.000999000999000999,0.0010641532380662815
GC,Calm2,Cx3cl1,0.0678049344652392,0.000999000999000999,0.0010641532380662815
GC,Calm2,Hpcal4,0.06805638963621209,0.000999000999000999,0.0010641532380662815
GC,Calm2,Nrep,0.07355970573516328,0.000999000999000999,0.0010641532380662815
GC,Calm2,Grin1,0.08120521757877337,0.000999000999000999,0.0010641532380662815
GC,Calm2,Grb2,0.08460680066478521,0.000999000999000999,0.0010641532380662815
GC,Calm2,Psd,0.0847659414168543,0.000999000999000999,0.0010641532380662815
GC,Calm2,Penk,0.09244087766836254,0.000999000999000999,0.0010641532380662815
GC,Calm2,Tubb2b,0.09806897886623572,0.000999000999000999,0.0010641532380662815
GC,Calm2,Gda,0.10001388555158572,0.000999000999000999,0.0010641532380662815
GC,Calm2,Sez6,0.10078791688264926,0.000999000999000999,0.0010641532380662815
GC,Calm2,Abl2,0.10341420087247669,0.000999000999000999,0.0010641532380662815
GC,Calm2,Ctxn1,0.1036646750170957,0.000999000999000999,0.0010641532380662815
GC,Calm2,Baiap2,0.11153597182541278,0.000999000999000999,0.0010641532380662815
GC,Calm2,Gng4,0.11237985584705137,0.000999000999000999,0.0010641532380662815
GC,Calm2,Nrgn,0.11308683643850805,0.000999000999000999,0.0010641532380662815
GC,Calm2,Gm13889,0.11485955355967577,0.000999000999000999,0.0010641532380662815
GC,Calm2,Smarcd1,0.13194879923958108,0.000999000999000999,0.0010641532380662815
GC,Calm2,Kcnj4,0.14026042286730506,0.000999000999000999,0.0010641532380662815
GC,Calm2,Bcl11b,0.14185879539837892,0.000999000999000999,0.0010641532380662815
GC,Calm2,Gpsm1,0.14289207472461868,0.000999000999000999,0.0010641532380662815
GC,Calm2,Icam5,0.16367844392779193,0.000999000999000999,0.0010641532380662815
GC,Calm2,Rbfox3,0.18185125562826016,0.000999000999000999,0.0010641532380662815
GC,Calm2,Camk4,0.31357404306469683,0.001998001998001998,0.0020830233596191043
GC,Calm2,Celf5,0.0692575924304895,0.002997002997002997,0.0030594405594405595
GC,Calm2,Cnih3,0.43483519517664626,0.014985014985014986,0.014985014985014986
