celltype,marker,gene,js_divergence,p_value,fdr
M_TC,Cst3,Glul,0.0049942957039188505,0.000999000999000999,0.001958041958041958
M_TC,Cst3,Qk,0.006316345680628245,0.000999000999000999,0.001958041958041958
M_TC,Cst3,Slc1a3,0.00725809618020569,0.000999000999000999,0.001958041958041958
M_TC,Cst3,Slc1a2,0.00799597322157194,0.000999000999000999,0.001958041958041958
M_TC,Cst3,Aldoc,0.01038287001221513,0.000999000999000999,0.001958041958041958
M_TC,Cst3,Ndrg2,0.010700085982024128,0.000999000999000999,0.001958041958041958
M_TC,Cst3,Cdr1,0.013346971264297902,0.000999000999000999,0.001958041958041958
M_TC,Cst3,Serpine2,0.015775479083767977,0.000999000999000999,0.001958041958041958
M_TC,Cst3,Slc6a11,0.016948682779398497,0.000999000999000999,0.001958041958041958
M_TC,Cst3,Ahcyl1,0.020370556470874025,0.000999000999000999,0.001958041958041958
M_TC,Cst3,Myo5a,0.020984258879593386,0.000999000999000999,0.001958041958041958
M_TC,Cst3,Rasl10b,0.021477361367633552,0.000999000999000999,0.001958041958041958
M_TC,Cst3,Kcnj10,0.023674370404933802,0.000999000999000999,0.001958041958041958
M_TC,Cst3,Map1a,0.027053877833159806,0.000999000999000999,0.001958041958041958
M_TC,Cst3,Doc2g,0.03544066503216412,0.000999000999000999,0.001958041958041958
M_TC,Cst3,Ppap2b,0.036057106472126926,0.000999000999000999,0.001958041958041958
M_TC,Cst3,Atp1a2,0.044972755839874014,0.000999000999000999,0.001958041958041958
M_TC,Cst3,Ednrb,0.05434613472643707,0.000999000999000999,0.001958041958041958
M_TC,Cst3,Pla2g7,0.055760903820032195,0.000999000999000999,0.001958041958041958
M_TC,Cst3,Ppp1r16b,0.06072419046082323,0.000999000999000999,0.001958041958041958
M_TC,Cst3,Sfxn5,0.06756039125352135,0.000999000999000999,0.001958041958041958
M_TC,Cst3,Ppp1r9b,0.07237758455823047,0.000999000999000999,0.001958041958041958
M_TC,Cst3,Scn1b,0.12250806442820796,0.000999000999000999,0.001958041958041958
M_TC,Cst3,Arap2,0.1284832546569205,0.000999000999000999,0.001958041958041958
M_TC,Cst3,Abhd3,0.22153374992423422,0.000999000999000999,0.001958041958041958
M_TC,Cst3,Slc4a4,0.021712871762754486,0.001998001998001998,0.003158132190390255
M_TC,Cst3,Luzp2,0.03486714960035092,0.001998001998001998,0.003158132190390255
M_TC,Cst3,Htra1,0.05676441917333743,0.001998001998001998,0.003158132190390255
M_TC,Cst3,Tmem47,0.059654123372924625,0.001998001998001998,0.003158132190390255
M_TC,Cst3,Mgll,0.09036512370767666,0.001998001998001998,0.003158132190390255
M_TC,Cst3,Hopx,0.2459434994326765,0.001998001998001998,0.003158132190390255
M_TC,Cst3,Ptprz1,0.05220645558052812,0.002997002997002997,0.004450095359186269
M_TC,Cst3,Zcchc24,0.1666811242187084,0.002997002997002997,0.004450095359186269
M_TC,Cst3,Myo6,0.08672716781226743,0.004995004995004995,0.006993006993006993
M_TC,Cst3,S1pr1,0.14647627663060098,0.004995004995004995,0.006993006993006993
M_TC,Cst3,Fgf1,0.19218049870635948,0.007992007992007992,0.010878010878010878
M_TC,Cst3,Pon2,0.156719512279232,0.008991008991008992,0.011907011907011909
M_TC,Cst3,Fam107a,0.10163769514087677,0.011988011988011988,0.015458225984541775
M_TC,Cst3,Kcnj16,0.2779736432386624,0.015984015984015984,0.02008248162094316
M_TC,Cst3,Dio2,0.15532547682398237,0.024975024975024976,0.030594405594405596
M_TC,Cst3,Gm20594,0.17600035209098358,0.029970029970029972,0.035817840695889475
M_TC,Cst3,Vip,0.5398520006030871,0.04095904095904096,0.04778554778554779
M_TC,Cst3,Apln,0.5547083166789787,0.04295704295704296,0.04895104895104896
M_TC,Cst3,Gap43,0.28465418659987624,0.04795204795204795,0.05340114431023522
M_TC,Cst3,Itpr2,0.4475295929358401,0.056943056943056944,0.062004662004662
M_TC,Cst3,Paqr8,0.19776708364560663,0.11688311688311688,0.12450592885375493
M_TC,Cst3,Shank1,0.3534217431309293,0.15184815184815184,0.15830977533105192
M_TC,Cst3,Ddn,0.48059540323485916,0.24875124875124874,0.2539335664335664
M_TC,Cst3,Gldc,0.3307774784638796,0.35064935064935066,0.35064935064935066
