,gene,kl_divergence,p_value,fdr
0,Glul,0.0527001550168633,0.000999000999000999,0.004450398170876081
1,Gpm6b,0.0682869893861953,0.000999000999000999,0.004450398170876081
2,Cst3,0.07212645014886943,0.000999000999000999,0.004450398170876081
3,Cpe,0.07214569437201677,0.000999000999000999,0.004450398170876081
4,Qk,0.08021179827826469,0.000999000999000999,0.004450398170876081
5,Apoe,0.08271019930610352,0.000999000999000999,0.004450398170876081
6,Aldoc,0.0838013844389777,0.000999000999000999,0.004450398170876081
7,X2900097C17Rik,0.08872635251854653,0.000999000999000999,0.004450398170876081
8,Tspan7,0.09424885729040705,0.000999000999000999,0.004450398170876081
9,Slc6a1,0.0958062988457203,0.000999000999000999,0.004450398170876081
10,Rplp1,0.0958404589114254,0.000999000999000999,0.004450398170876081
11,Slc1a3,0.09662168651519609,0.000999000999000999,0.004450398170876081
12,Fth1,0.09740862459481492,0.000999000999000999,0.004450398170876081
13,Scd2,0.09776837401149945,0.000999000999000999,0.004450398170876081
14,Serpine2,0.10032900890324972,0.000999000999000999,0.004450398170876081
15,Sepp1,0.10197424897987681,0.000999000999000999,0.004450398170876081
16,Cox6a1,0.10209020064303218,0.000999000999000999,0.004450398170876081
17,Mt1,0.10220783864254528,0.000999000999000999,0.004450398170876081
18,Ckb,0.1026448757023185,0.000999000999000999,0.004450398170876081
19,Tuba1a,0.1032538587136659,0.000999000999000999,0.004450398170876081
20,Actb,0.10588290218049462,0.000999000999000999,0.004450398170876081
21,Tspan3,0.10658088452146713,0.000999000999000999,0.004450398170876081
22,Slc6a11,0.10859408920459149,0.000999000999000999,0.004450398170876081
23,Eif4g2,0.10957807388114921,0.000999000999000999,0.004450398170876081
24,Tmsb4x,0.11123965717013186,0.000999000999000999,0.004450398170876081
25,Eef2,0.11143173173891088,0.000999000999000999,0.004450398170876081
26,Dynll2,0.11156569811861641,0.000999000999000999,0.004450398170876081
27,Gnas,0.1120918788391566,0.000999000999000999,0.004450398170876081
28,Pea15a,0.112579810114694,0.000999000999000999,0.004450398170876081
29,Canx,0.11272902383986382,0.000999000999000999,0.004450398170876081
30,Ndrg2,0.11287456119023459,0.000999000999000999,0.004450398170876081
31,Ldhb,0.1132194751657987,0.000999000999000999,0.004450398170876081
32,Mdh1,0.1136502022041148,0.000999000999000999,0.004450398170876081
33,Cox4i1,0.11494906541753395,0.000999000999000999,0.004450398170876081
34,Prkar1a,0.11521998922097462,0.000999000999000999,0.004450398170876081
35,Eef1a1,0.11588876976758664,0.000999000999000999,0.004450398170876081
36,Slc25a4,0.117728210028895,0.000999000999000999,0.004450398170876081
37,Cd81,0.1181543374252825,0.000999000999000999,0.004450398170876081
38,Rtn3,0.1185528095484721,0.000999000999000999,0.004450398170876081
39,Olfm1,0.11866747003816881,0.000999000999000999,0.004450398170876081
40,Atp5a1,0.11960600745836256,0.000999000999000999,0.004450398170876081
41,Cltc,0.11976988101873713,0.000999000999000999,0.004450398170876081
42,Myo5a,0.12003658810132023,0.000999000999000999,0.004450398170876081
43,Slc1a2,0.12083110454546415,0.000999000999000999,0.004450398170876081
44,Atp5b,0.12118215063698548,0.000999000999000999,0.004450398170876081
45,Ttyh1,0.12231484383048724,0.000999000999000999,0.004450398170876081
46,Slc25a3,0.12256251421977687,0.000999000999000999,0.004450398170876081
47,Rpl13,0.12292562603574586,0.000999000999000999,0.004450398170876081
48,Ctsb,0.12305738288997148,0.000999000999000999,0.004450398170876081
49,Ntrk2,0.12337334821008682,0.000999000999000999,0.004450398170876081
50,Cfl1,0.12462287686480336,0.000999000999000999,0.004450398170876081
51,Slc4a4,0.12684234377918446,0.000999000999000999,0.004450398170876081
52,Atp5j,0.12708836350510172,0.000999000999000999,0.004450398170876081
53,Purb,0.12728283342683097,0.000999000999000999,0.004450398170876081
54,Calm1,0.12738177398016115,0.000999000999000999,0.004450398170876081
55,Rpl4,0.1277680380253575,0.000999000999000999,0.004450398170876081
56,Atp1b2,0.12808950616786202,0.000999000999000999,0.004450398170876081
57,Map4,0.12815910126041916,0.000999000999000999,0.004450398170876081
58,Glud1,0.1289700787965598,0.000999000999000999,0.004450398170876081
59,Rtn4,0.12901015914637337,0.000999000999000999,0.004450398170876081
60,Msi2,0.1294192514400656,0.000999000999000999,0.004450398170876081
61,Kcnj10,0.13041668976109305,0.000999000999000999,0.004450398170876081
62,Psap,0.1312386513267324,0.000999000999000999,0.004450398170876081
63,Ywhag,0.1317487115356914,0.000999000999000999,0.004450398170876081
64,Itm2b,0.13186353699609607,0.000999000999000999,0.004450398170876081
65,Ccni,0.13205953415013913,0.000999000999000999,0.004450398170876081
66,Prnp,0.13242534508279208,0.000999000999000999,0.004450398170876081
67,Rpl41,0.13269066966095072,0.000999000999000999,0.004450398170876081
68,Chchd2,0.1328988764263213,0.000999000999000999,0.004450398170876081
69,Cox7b,0.13294134469096297,0.000999000999000999,0.004450398170876081
70,Gpm6a,0.13315967051507038,0.000999000999000999,0.004450398170876081
71,Ywhae,0.13363384232642128,0.000999000999000999,0.004450398170876081
72,Lrrc58,0.13379119282563845,0.000999000999000999,0.004450398170876081
73,Sptbn1,0.13387943547402287,0.000999000999000999,0.004450398170876081
74,Lamp1,0.1341611058453176,0.000999000999000999,0.004450398170876081
75,Ctnnb1,0.13433154030842615,0.000999000999000999,0.004450398170876081
76,Calm3,0.13456223255946417,0.000999000999000999,0.004450398170876081
77,Meg3,0.13513352304067489,0.000999000999000999,0.004450398170876081
78,Atp6v1a,0.13541735139094568,0.000999000999000999,0.004450398170876081
79,Cox7a2,0.13556865886141545,0.000999000999000999,0.004450398170876081
80,Atp5g3,0.13633087436338015,0.000999000999000999,0.004450398170876081
81,Tcf4,0.13752683701116242,0.000999000999000999,0.004450398170876081
82,Dennd5a,0.13759112454853129,0.000999000999000999,0.004450398170876081
83,X6330403K07Rik,0.13775930330817182,0.000999000999000999,0.004450398170876081
84,Ahcyl1,0.13811061134847524,0.000999000999000999,0.004450398170876081
